festival_name,genre,city,state,start_date,end_date,description
Sree Ramanavami Global Music Festival,Music,Bengaluru,Karnataka,09 Apr 2024,13 Apr 2024,"With the onset of Rama Navami, a Hindu festival that celebrates the birth of Lord Rama, begins the prestigious,Sree Ramanavami Global Music Festivalin Bengaluru. A much-loved event in the Indian classical music circuit, this primarily Carnatic festival has hosted eminent musicians since 1939. Three Presidents and four Vice Presidents of India and all the Governors and Chief Ministers of Karnataka have inaugurated the celebrations."
South Side Story,Music,NESCO Grounds Goregaon Mumbai,Maharashtra,14 Dec 2024,,"South Side Story is a cultural extravaganza celebrating South Indian heritage in Mumbai and Delhi. Organised by Team Red FM, this event captures the essence of South India through live performances by renowned contemporary artists, traversing genres like rap, folk, rock, and pop. The festival connects South and North India through incredible music, crafts, and art forms, offering a rich tapestry of cultural experiences."
Serendipity Arts Festival,Multiarts,Panaji,Goa,15 Dec 2024,22 Dec 2024,"From its launch in 2016, the Serendipity Arts Festival in Goa has evolved into one of the largest annual interdisciplinary cultural extravaganzas in South Asia. A panel of 14 curators selects the events and experiences, which are presented over eight days in December across multiple venues in Panjim. Curated by an eminent panel of artists and experts, the Festival aims to initiate positive change in Indias creative ecosystem. Spanning the visual, performing, and culinary arts, the Festival addresses crucial issues such as arts education, cultural patronage, interdisciplinary discourse, and access to the arts."
Saz-E-Bahar,Music,Mumbai,Maharashtra,04 Apr 2025,05 Apr 2025,"The Saz-E-Bahar: Festival of Indian Instrumental Music, organised by theNational Centre for Performing Arts (NCPA), is back with its tenth edition. This multi-day event promises to showcase four talented instrumentalists who will be wielding a variety of instruments ranging from percussion-based ones such as drums and tabla to string instruments like the mandolin, sitar, sursingar, and mohanveena. Tabla artist Vijay Ghate, mandolin player U. Rajesh, sitar player Kushal Das and sursingar and mohanveena player Joydeep Mukherjee will be showcasing their musical prowess at the festival. To make the experience more immersive, Dr Suvarnalata Rao, Head of Programming (Indian Music) at the NCPA, will present a pre-event talk on specific instruments each day at 6 pm."
Santiniketan Mela,Music,Bolpur,West Bengal,18 Oct 2024,20 Oct 2024,"Santiniketan in Birbhum district, inscribed as a UNESCO World Heritage site in 2023, is a cultural treasure that embodies universalism and inclusive education through Visva-Bharati University, founded by Nobel laureate Rabindranath Tagore. This iconic place not only houses the prestigious university but also showcases a vibrant cultural heritage, including the soulful Baul songs, intricate Kantha embroidery, exquisite Shola craft and the visual storytelling tradition of Patachitra."
Sandscape,Music,Jaisalmer,Rajasthan,08 Feb 2020,10 Feb 2020,"Launched in 2017, Sandscape is a music festival that takes place across the city of Jaisalmer and the dunes surrounding the villages of Khuri and Barna. It features Indian and international electronic and folk music acts whose sets are supported by 3D visual mapping and body performances. Electronic music DJs and producers Ma Faiza and Mashter and Rajasthani folk singers Kutle Khan and Mame Khan are among the artists to have played Sandscape in previous years."
Sama’a: The Mystic Ecstasy,Music,Mumbai,Maharashtra,10 Feb 2023,12 Feb 2023,"Samaa: The Mystic Ecstasy, is a festival of Sufi music organised by theNational Centre for Performing Arts(NCPA). The festival embodies the values of Sufism and emphasises the use of music to deepen ones relationship with the Creator and attain spiritual transcendence through Samaa, the Sufi practice of listening to music, chanting, and whirling."
Sahaj Parav – The Root Music Festival,Music,Kolkata,West Bengal,18 Nov 2023,,"Sahaj Parav – The Root Music Festival celebrates traditional culture and customs by showcasing the vibrant artistry of the India. The festival unites diverse performing arts, from ethnic to folk groups, on a single stage to captivate, inspire and evolve. Beyond entertainment, Sahaj Parav envisions to preserve Indias rich heritage and foster cultural harmony."
Safarnama,Multiarts,Pune,Maharashtra,27 Jun 2025,29 Jun 2025,"Safarnama is a three-day residential festival dedicated to travellers, thoughtfully curated by a community ofexperienced travellers.The festival provides a platform for participants to engage with like-minded individuals through a carefully designed programme of workshops and interactive sessions, each aimed at fostering meaningful connections with nature, community and self."
Royal Enfield Journeying Across The Himalayas,Arts and Crafts,Delhi,Delhi NCR,05 Dec 2024,15 Dec 2024,"Royal Enfields Journeying Across the Himalayas is a groundbreaking multidisciplinary festival that celebrates the diverse cultural and creative heritage of the Himalayan region. Bringing together over 50 Himalayan communities, 100 partners, 150 experts, and 200 creative practitioners,the festivaloffers a vibrant platform for music, art, food, literature, textiles, and meaningful discussions."
RhythmXChange,Music,Bengaluru,Karnataka,25 Nov 2022,27 Nov 2022,"RhythmXChange is a festival that seeks to explore rhythm as a shared language. A collaboration between theIndian Music Experience Museum(IME), Bangalore, and Manchester Museum, UK, the project brought together four Indo-UK musicians with two mentees – one from India and one from the UK – to design and facilitate a percussion-based art project. Starting in the autumn of 2022, this six-month developmental project culminated in two international performances in 2022-23 to showcase the cross-culture artistic outcome of the project. The first was held at the IME in November 2022, while the second was held at the Manchester Museum in March 2023."
RED FM Sounds Of Punjab 2024,Music,New Delhi,India,23 Mar 2024,,"The fourth season of Sounds of Punjab featured the renowned singer Gurdas Maan, a legend in Punjabs music scene, paying homage to the essence of the region. The festival showcased a vibrant array of Punjabi cultural elements, including traditional food, lively Bhangra and Giddha performances, Gatka displays, and much more. Sounds of Punjab celebrated Punjabs rich heritage and traditions at Talkatora Stadium, New Delhi."
Rashtriya Sanskriti Mahotsav,Multiarts,Mumbai,Maharashtra,11 Feb 2023,19 Feb 2023,"The Rashtriya Sanskriti Mahotsav was conceptualised by the Ministry of Culture, Government of India, in 2015 to celebrate the spirit of tradition, culture, heritage and diversity. The festival aims to preserve, promote and popularise the heritage of Indian spirit and reconnect the new generation with our culture. It has been instrumental in presenting folk and tribal art, dance, music, cuisines and culture of one state in other states to achieve the cherished goal of Ek Bharat, Shreshtha Bharat."
Ranthambhore Music & Wildlife Festival,Music,Sawai Madhopur,Rajasthan,11 Nov 2022,12 Nov 2022,"Held annually at the Nahargarh Palace since 2017, the Ranthambhore Music & Wildlife Festival provides audiences an opportunity to discover and appreciate musical styles, genres and traditions, timeless folk art and the beautiful and majestic wildlife of India."
Rajasthan Kabir Yatra,Music,Multicity,Rajasthan,02 Oct 2024,07 Oct 2024,"This folk music festival, which travels across the rural regions of Rajasthan between 2 and 8 October every year, is a place for musicians, artists, scholars, students and seekers to immerse themselves in the worlds of Bhakti and Sufi poetry. Featuring over 30 performers, Rajasthan Kabir Yatra was inspired by spiritual traditions such as the jaagran/satsang, an all-night event where singers from different communities come together to sing and discuss the works of poet-saints such as Kabir, Mirabai and Bulleh Shah."
Ragasthan,Music,Jaisalmer,Rajasthan,23 Feb 2018,25 Feb 2018,"Ragasthan is a multi-genre music festival set amidst the sand dunes of the Thar Desert in Jaisalmer, Rajasthan. The performances take place across three stages: Birakha is for singer-songwriters and spoken word artists; Morio for rock, pop and folk music; and Ammara for electronic music."
Pune International Literary Festival,Literature,Pune,Maharashtra,14 Dec 2024,15 Dec 2024,"Pune International Literary Festival (PILF) is the first and only multi-lingual literary festival that is free for all in Pune. Author and filmmakerDr. Manjiri Prabhufounded the festival, which was held for the first time in 2013 and has since become one of the top eight literary festivals in India."
Poila Baithak,Music,Kolkata,West Bengal,22 Apr 2023,,"Celebrating the rich legacy of Bengali New Year through Rabindra Sangeet and baul (mystic minstrels from Bengal and Bangladesh) songs, the Poila Baithak festival in Kolkata brought together the best of both Bangladesh and West Bengal through music, food and the quintessential Bengaliadda(an informal gathering for conversation). Hosted by the citys most beloved voices like RJ Nilam and RJ Niel, the third and latest edition of the boutique Poila Baithak festival upheld the theme, Baul Beyond Borders and explored variations inbaulmusic with artists like Karthika Das Baul and folk bands such as Fakira and Joler Gaan. Organised by93.5 Red FM, theeventwas a grand celebration ushering in the month of Boishakhi in Bengal."
Pandit Durgalal Festival,Dance,Mumbai,Maharashtra,05 Feb 2023,,"Founded by theSamved Society for Performing Arts, the Pandit Durgalal Festival is held in memory of the doyen of the Jaipur gharana of Kathak. It was started by his discipleUma Dograas part of the Samved Society. Over three decades, this festival has seen luminaries from the field of Indian classical vocal, instrumental and dance grace its stage and pay tribute to the kathak legend. This is the 33rd edition of the festival. Some of the renowned artists who have performed in the Pandit Durgalal Festival include Pt Jasraj, Ustad Amjad Ali Khan, Pt Shiv Kumar Sharma, Pt Hariprasad Chaurasia, Smt Sitara Devi, Pt Birju Maharaj, Pt Kelucharan Mohapatra, Smt Sonal Mansingh and Shri Jagjit Singh."
Paddy Fields – India’s Premier Folk Fusion Music Festival,Music,Mumbai,Maharashtra,15 Oct 2022,16 Oct 2022,"Indias premier folk-fusion music festival, Paddy Fields packages and presents folk music from across the country to an audience weaned on Bollywood and international pop, rock and jazz music. Its a festival where, the organisers say, music lovers discover traditional music theyve never heard before and watch well-known musicians perform sets theyve never played before."
NH7 Weekender,Music,Pune,Maharashtra,14 Dec 2024,15 Dec 2024,"Bacardi NH7 Weekender, or NH7 as its popularly known, is arguably Indias largest and most-loved multi-genre indie music festival. Since 2017, it has also run an extremely popular stage for stand-up comedy. Staged in Pune from 2010 and in the state of Meghalaya since 2015 between October and December, NH7 occasionally travels to other cities such as Bengaluru, Delhi, Hyderabad and Kolkata. Independent music in genres such as electronic, hip-hop and rock makes up most of the line-up. Often, theres a bit of Bollywood thrown in. The line-ups are a mix of established and emerging Indian and international music stars."
Neon East Fest,Music,Mumbai,Maharashtra,12 Oct 2019,13 Oct 2019,"Conceptualised and curated by Third Culture Entertainment, Mumbai-based Neon East is a music festival that spotlights some of todays most relevant and emerging electronic artists from across India and the world. Little Dragon and Mura Masa headlined the inaugural edition of Neon East Fest in 2019, which also featured Andre Power, Mr. Carmack and Phum Viphurit."
NCPA International Jazz Festival,Music,Mumbai,Maharashtra,22 Nov 2024,24 Nov 2024,The National Centre for the Performing Arts launched the NCPA International Jazz Festival in 2017 to bring to audiences acclaimed jazz bands and soloists from across the country and the world in a format that combines experimental styles with familiar standards and new compositions with others by the masters.
NCPA Bandish: A Tribute to Legendary Composers,Music,Mumbai,Maharashtra,15 Jul 2022,17 Jul 2022,"Mumbais National Centre for the Performing Arts launched Bandish: A Tribute to Legendary Composers in 2010 to showcase iconic works by celebrated music composers through performances by some of the countrys finest artists. The festival is named after the Hindustani classical term bandish, the melodic and rhythmic composition that forms the base upon which the edifice of a performance is sculpted and realised.  In addition to Hindustani classical and semi-classical forms, Bandish has featured concerts of Carnatic classical music, Indian devotional music and ghazals as well as Hindi film songs."
Nabanna Folk Art and Craft Fair,Arts and Crafts,Shantiniketan,West Bengal,16 Mar 2024,26 Mar 2024,"Nabanna Folk Art and Craft Fair is a 10-day annual folk art and craft fair that is held during the spring celebrations – also known as Basanta Utsav – in Shantiniketan, West Bengal. A unique experience in many ways, the festival brings together demonstration of the craft in [the] making, direct interaction with artisans… [and] traditional, innovative and climate conscious initiatives."
Musicathon,Music,Bir,Himachal Pradesh,15 Nov 2024,16 Nov 2024,"Launched in 2019, Musicathon is a festival organised by artist managerGaurav Kumar Kushwahamultiple times a year, and showcases musical acts by emerging artists from various parts of the country. After a stunning festival at Bir, Himachal Pradesh this year, Musicathon is now back in Delhi with a stellar line-up including artists Akanksha Grover, Buland Himalay and Arjan Singh."
Mumbai Dance Season,Dance,Mumbai,Maharashtra,09 Jan 2025,02 Feb 2025,"TheNational Centre for Performing Arts(NCPA) started the Mumbai Dance Season in 2018 as a community initiative to foster camaraderie in the citys thriving dance community. As a month-long celebration of dance, the season features workshops, lectures, demonstrations and performances by classical dance experts, teachers, young choreographers and institutions. A wide range of venues across Mumbai will host both free and paid events throughout the season."
Mukta: The Voices of Women Today,Music,Mumbai,Maharashtra,05 Aug 2022,07 Aug 2022,"Launched in 2022 by the Mumbai-based National Centre for the Performing Arts to celebrate 75 years of Indias Independence, Mukta: The Voices of Women Today is a three-day Indian classical music festival comprising performances conceptualised, composed and led by female artists."
Mudra Dance Festival,Dance,Mumbai,Maharashtra,03 Apr 2025,29 Apr 2025,"The Mudra Dance Festival is a thematic dance festival, organised every year by theNational Centre for the Performing Arts (NCPA)and pivots around socially significant themes such as motherhood, colours, bhakti poetry, animal movements etc. The festivals latest edition explored a unique theme Aparajita, meaning undefeated, that shed light on the lives of women who have persevered through challenges. Through its unique programming, the Mudra Dance Festival aims to celebrate the ability of human beings to find strength amidst lifes struggles and emerge undefeated. Highlights at this years Mudra Dance Festival included an Odissi performance by Guru Sutapa Talukdar and South Gurukul Society, Kathak performance by Guru Rajashree Shirke and Lasya, performances by Sonal Mansingh and the Centre for Indian Classical Dances Repertory Group, Sandhya Purecha and Bharata College of Fine Arts and Culture."
Maya Bazaar,Music,Bengaluru,Karnataka,28 Sep 2024,29 Sep 2024,"An initiative by the team at Road to Utopia – a queer feminist DEI consulting firm that is steering the world toward empathy and respect – Maya Bazaar is a first-of-its-kind series of inclusive marketplaces organised in various cities of India. Launched in 2021, as a platform for business owners, artists, and performers from the LGBTQIA+ community, Maya Bazaar began as a way to amplify the presence of those less seen and heard, and to uplift communities and bolster livelihoods."
Majuli Music Festival,Music,Majuli,Assam,21 Nov 2024,24 Nov 2024,"The Majuli Music Festival (MMF) is an annual not-for-profit music festival staged in the picturesque island of Majuli in Assam. It was launched in 2019 by theMajuli Music Festival Foundation, held again in 2021 and hosts over 30 artists from across India. On the bill previous year were singers Bishrut Saikia, Doctor Lincoln, Joi Barua, Lucky Ali, Nilotpal Bora, Salman Elahi and Trishna Gurung, the duo O Daapun, and the bands Avora Records, Jutimala and the Tai Folks, Madhouse Mongrels, Motherjane, Naalayak, The Midnight Taxi and The Sleeping Satellite."
Mahindra Roots Festival,Heritage,Mumbai,Maharashtra,24 Feb 2023,26 Feb 2023,"The Mahindra Roots Festival (MRF) aims to explore distinctive and forgotten art forms that are integral to Indias cultural heritage. The festival features theatre performances, immersive storytelling, folk music, classical music and poetry in multiple languages, including Hindi, Punjabi, English, and Kannada, among others, as well as tribal music forms, contemporary Sufi, Abhangas, Bengals Baul music tradition etc.MRFshowcases art through various formats such as larger-than-life installations, spectacular décor and much more, reintroducing audiences to their grand cultural heritage. Furthermore, artists from various genres, languages, and cultures enthral audiences with performances that are an aural and visual treat."
Mahindra Percussion Festival,Music,Bengaluru,Karnataka,01 Mar 2025,02 Mar 2025,"The Mahindra Percussion Festival is a vibrant celebration of rhythm where attendees can rise to the beat. It stands as a unique amalgamation of music, food, festivity and culture, with percussion and expression at its core. Percussion instruments and their rhythmic cadences have played a central role in social and cultural activities since ancient times. Drums, for instance, hold the distinction of being the oldest musical percussion instrument known to mankind. The Mahindra Percussion festival aims to establish itself as a groundbreaking platform, transcending various music genres, all propelled by the beats of percussion."
Mahindra Open Drive,Music,Mumbai,Maharashtra,26 Feb 2022,,"A travelling, outdoor festival with music at its heart, infused with culture and adventure, Mahindra Open Drive takes place between December and February. The inaugural edition of the day-long event was held in February 2022 at Camp Max, which overlooks Lake Kalote in the outskirts of the Mumbai-Pune highway. It featured performances by Indian independent acts such as Benny Dayal, Kamakshi Khanna, Peter Cat Recording Co., Raghav Meattle, Voctronica and When Chai Met Toast. Attendees could go kayaking in the lake and try their hand at activities such as pottery."
Mahindra Kabira Festival,Music,Varanasi,Uttar Pradesh,13 Dec 2024,15 Dec 2024,"Every November, Varanasi, the birthplace of the mystic-saint poet Kabir, comes alive with an annual musical celebration of his inclusive philosophy and the lyrical aspect of his teachings. Along with performances by leading exponents of the Benares gharana of Hindustani classical music, the audience is treated to folk traditions, Sufi music, ghazals and the dadra, thumri and khayal gayaki styles. Sessions on art and literature inspired by Kabir; specially curated walks with local experts; and stalls showcasing regional cuisines are among the non-musical highlights of the Mahindra Kabira Festival experience."
Mahindra Independence Rock,Music,Mumbai,Maharashtra,16 Nov 2024,17 Nov 2024,"Pioneering music festival Independence Rock returned in 2022 after a hiatus of nine years, with founder Farhad Wadia teaming up withHyperlink Brand Solutionsas co-organiser and the Mahindra Group as title partner. I-Rock, launched in 1986, was both the countrys longest-running and most popular rock festival. Attending the event was a rite of passage for the countrys rock and metal fans who thronged its venues, alfresco auditorium Rang Bhavan and subsequently the Chitrakoot Grounds, for the annual headbanging ritual."
Mahindra Blues Festival,Music,Mumbai,Maharashtra,08 Feb 2025,09 Feb 2025,"Launched in 2011 with the aim of forming the biggest blues community in Asia, this annual two-daymusic festival byMahindra & Mahindra features some of the genres biggest and best acts. Among the legends and stars to have headlined the festival, which takes place at Mumbais Mehboob Studios, are its official ambassador Buddy Guy, John Mayall, Charlie Musselwhite, Walter Trout, Jimmie Vaughan, Coco Montoya, Keb Mo, John Lee Hooker Jr., Doyle Bramhall II, Beth Hart, Kenny Wayne Shepherd, Robert Randolph, Jonny Lang, Joss Stone and Quinn Sullivan.In 2016, the stages were renamed the Polka Dot Parlour, after Guys signature polka-dot shirt, and the Soul Strat Saloon after homegrown blues-rock heroes Soulmate and Blackstratblues, who have played the event multiple times. Since 2015, the festival has conducted the nationwide Mahindra Blues Band Hunt through which the winning group gets to perform on the garden stage of the festival on both days. The previous winners are Aayushi Karnik,  Blu, Arinjoy Trio, Blue Temptation and Quiet Storm. The festival was last held in 2020. However, the one-day Mahindra Blues Special, featuring Soulmate and fellow Indian blues musicians, was staged in March 2022."
Magnetic Fields,Music,Jhunjhunu,Rajasthan,06 Dec 2024,08 Dec 2024,"Magnetic Fields is a three-day music festival that takes place at 17th-century palace Alsisar Mahal in Shekhawati, Rajasthan. The annual festival, which was launched in 2013, showcases the countrys best and most forward-thinking music alongside some of the worlds finest underground stars. Among the acts to have played on its many stages include path-breakers such as Arjun Vagale, Ben UFO, Charanjit Singh, Daphni, DJ Koze, Four Tet, Hunee, HVOB, Khruangbin, Maribou State, Peter Cat Recording Co., Ratatat and Shanti Celeste. Each year also features performances by local Rajasthani folk musicians."
Madras Jazz Festival,Music,Chennai,Tamil Nadu,15 Dec 2022,16 Dec 2022,"The experience of listening to Jazz in a city thats grown up on a diet of Carnatic classical is unparalleled. Madras Jazz Festival, an annual festival hinged on an old city name, aims to fuel the world of jazz in Chennai (formerly Madras) by bringing together artists from Europe and India."
Maati Putr Ceramic Festival,Arts and Crafts,MUMBAI,Maharashtra,18 Oct 2024,30 Nov 2024,"The Maati Putr Ceramic Festival, hosted byKathiwada City House, is a celebration of the deep bond between clay and nature, honouring the art of ceramics and studio pottery. Launched in 2024, this inaugural edition pays tribute to the timeless craft, offering a contemporary platform for artisans to showcase their work. The name Maati Putr, meaning Child of the Earth, reflects the connection between ceramists and the raw elements of the earth, transforming clay into evocative pieces of art."
Lollapalooza India,Music,Mumbai,Maharashtra,08 Mar 2025,09 Mar 2025,"Launched in 1991, Lollapalooza is a multi-genre music festival. A pioneering force since its inception,Lollapaloozawas one of the first festivals to bring together performers from a wide range of genres. The festival was also one of the first to introduce the multi-stage concept – one that has grown to be a popular feature for music festivals across the world. Over the last three decades, the festival has been held across seven different locations across the world, including France, Germany, Sweden, Argentina, and Brazil."
Lodhi Festival,Multiarts,New Delhi,Delhi NCR,18 Mar 2023,19 Mar 2023,"The first edition of the Lodhi Festival was held at the Lodhi Art District in New Delhi between 18 and 19 March, 2023. Organised bySt+art India Foundationin collaboration with theKiran Nadar Museum of Art (KNMA)andG20, the festival hosted an incredible line-up of performances from all over India. The festival included a weekend comprising music, dance, theatre, visual arts and more. There were also vibrant and exciting workshops at the festival, offering fun and creativity for all ages."
LLDC Winter Festival,Multiarts,Bhuj Kutch,Gujarat,19 Jan 2024,24 Jan 2024,"The Living and Learning Design Centre (LLDC Craft Museum), Ajarakhpur, Bhuj-Kutch, continues its tradition of cultural celebration with the timeless LLDC Winter Festival. Collaborating with Madhya Pradesh, this festival promises a continued exploration of diverse art and craft traditions, transcending temporal and geographical boundaries."
