monument,latitude,longitude,city,state,2022-23 domestic,2022-23 foreign,2022-23 total visitors,2023-24 domestic,2023-24 foreign,2023-24 total visitors,% domestic growth,% foreign growth,image_url,
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,20.61,86.55,Bhubaneswar,Odisha,32742,293,33035,40823,554,41377,24.7,89.1,images/,
Ruins of Buddhist Temples and Images lalitgiri,20.6,86.33,Bhubaneswar,Odisha,36047,269,36316,41188,399,41587,14.3,48.3,images/,
Ajanta Caves,20.5525,75.7033,Aurangabad,Maharashtra,401086,10437,411523,452182,18829,471011,12.7,80.4,images/,
Ellora Caves,20.0268,75.1794,Aurangabad,Maharashtra,1437560,12464,1450024,1740513,19643,1760156,21.1,57.6,images/elloraCaves.png,
Tomb of Rabia Durani (Bibi ka Maqbara),19.9017,75.3203,Aurangabad,Maharashtra,1183263,5606,1188869,1295076,9606,1304682,9,71.4,images/,
Daulatabad Fort,19.9426,75.2133,Aurangabad,Maharashtra,516144,2565,518709,547569,3809,551378,6.1,48.5,images/,
Pandulena Caves,19.9975,73.7894,Aurangabad,Maharashtra,170146,795,170941,146016,1048,147064,-14.2,31.8,images/,
Aurangabad Caves,19.922,75.32,Aurangabad,Maharashtra,115500,852,116352,132518,1495,134013,14.7,75.5,images/,
Elephanta Caves,18.9633,72.9314,Mumbai,Maharashtra,464428,13368,477796,476532,21584,498116,2.6,61.5,images/,
Buddhist Caves Kanheri,19.214,72.91,Mumbai,Maharashtra,327250,6063,333313,380601,7571,388172,16.3,24.9,images/,
Shaniwarwada,18.5196,73.8553,Mumbai,Maharashtra,1079741,4899,1084640,1260792,6542,1267334,16.8,33.5,images/,
Aga Khan Palace Building,18.5526,73.9034,Mumbai,Maharashtra,187407,3121,190528,249513,3645,253158,33.1,16.8,images/,
"Cave, Temple and Inscriptions, Junaar, Lenyadri",19.1972,73.8722,Mumbai,Maharashtra,404079,391,404470,479866,844,480710,18.8,115.9,images/,
"Caves, Temples and Inscriptions Karla",18.7683,73.4711,Mumbai,Maharashtra,301392,2170,303562,250417,1860,252277,-16.9,-14.3,images/,
"Cave Temple & Inscriptions, Bhaja",18.7392,73.4811,Mumbai,Maharashtra,89302,517,89819,62666,413,63079,-29.8,-20.1,images/,
Raigad Fort,18.234,73.4426,Mumbai,Maharashtra,297029,97,297126,219556,101,219657,-26.1,4.1,images/,
"Kolaba Fort, Alibag",18.6411,72.8725,Mumbai,Maharashtra,43176,128,43304,85088,156,85244,97.1,21.9,images/,
"Old Fort, Sholapur",17.6599,75.9064,Mumbai,Maharashtra,35485,32,35517,42956,28,42984,21.1,-12.5,images/,
"Janjira Fort, Murd",18.2967,72.9647,Mumbai,Maharashtra,276453,199,276652,291382,207,291589,5.4,4,images/,
Kondiote Caves,19.1833,72.8333,Mumbai,Maharashtra,43419,310,43729,23859,659,24518,-45.1,112.6,images/,
Lohgad Fort,18.71,73.48,Mumbai,Maharashtra,275845,534,276379,136790,207,136997,-50.4,-61.2,images/,
Gawilgarh Fort,21.375,77.35,Nagpur,Maharashtra,"22,777",16,22793,"29,842",27,29869,31,68.8,images/,
Ancient Buddhist Remains,21.3833,79.2667,Mansar,Maharashtra,"3,685",33,3718,"3,901",128,4029,5.9,287.9,images/,
Suraj Kund,30.3165,78.0322,Chandigarh,Chandigarh,"12,846",53,12899,"11,084",8,11092,-13.7,-84.9,images/surajKund.png,
Sheikh Chilli's Tomb,29.964,76.878,Chandigarh,Chandigarh,"70,332",286,70618,"74,729",346,75075,6.3,21,images/sheikhTomb.png,
Khan-I-Khana,28.5925,77.2436,Delhi,Delhi,"4,556",40,4596,"4,782",27,4809,5,-32.5,images/,
Sultanghari Tomb,28.54,77.15,Delhi,Delhi,"2,110",4,2114,132,6,138,-93.7,50,images/,
Tughluqabad,28.5073,77.2567,Delhi,Delhi,"127,556",619,128175,"32,249",316,32565,-74.7,-49,images/,
Red Fort,28.6562,77.241,Delhi,Delhi,"2,214,658","49,060",2263718,"2,794,083","84,177",2878260,26.2,71.6,images/redFort.png,
Humayun Tomb,28.5933,77.2507,Delhi,Delhi,"1,162,360","100,136",1262496,"886,740","116,904",1003644,-23.7,16.8,images/,
Qutub Minar,28.5244,77.1855,Delhi,Delhi,"1,767,548","115,247",1882795,"3,123,643","220,017",3343660,76.7,90.9,images/qutubMinar.png,
Hauzkhas,28.5494,77.1996,Delhi,Delhi,"62,959","1,027",63986,"83,857","1,305",85162,33.2,27.1,images/,
Jantar Mantar,28.6271,77.2166,Delhi,Delhi,"268,778","4,673",273451,"236,412","3,916",240328,-12,-16.2,images/,
Safdarjung Tomb,28.5883,77.21,Delhi,Delhi,"142,379","5,967",148346,"150,012","9,770",159782,5.4,63.7,images/,
Kotla Feroz Shah,28.6353,77.243,Delhi,Delhi,"119,053",648,119701,"125,734",922,126656,5.6,42.3,images/,
Purana Qila,28.6096,77.2429,Delhi,Delhi,"598,708","2,445",601153,"261,483","1,727",263210,-56.3,-29.4,images/,
Ahom Raja's Palace,26.9844,94.637,Guwahati,Assam,"133,792",151,133943,"107,024",160,107184,-20,6,images/,
"Kareghar of Ahom Kings, Sibasagar",26.9844,94.637,Guwahati,Assam,"242,553",554,243107,"217,013",788,217801,-10.5,42.2,images/,
"Ranghar Pavillion, Jaisagar",26.9844,94.637,Guwahati,Assam,"156,804",519,157323,"163,162",680,163842,4.1,31,images/,
Bishnudol,26.9844,94.637,Guwahati,Assam,"7,453",32,7485,"6,539",10,6549,-12.1,-68.8,images/,
"Group of four Maidans Charaideo, Sibasagar",27,94.75,Guwahati,Assam,"93,788",26,93814,"47,987",86,48073,-48.8,230.8,images/,
Upper Fort Aguada,15.5,73.77,Goa,Goa,"1,014,969","8,320",1023289,"1,191,829","10,411",1202240,17.4,25.1,images/,
Charminar,17.3616,78.4747,Hyderabad,Telangana,"928,808","5,986",934794,"1,290,074","8,040",1298114,38.9,34.3,images/,
Golconda,17.3833,78.4,Hyderabad,Telangana,"1,526,718","11,509",1538227,"1,608,085","15,839",1623924,5.3,37.6,images/,
Warangal,17.9784,79.5941,Hyderabad,Telangana,"137,235",239,137474,"108,267",242,108509,-21.1,1.3,images/,
Ancient Site Bhangarh,27.0955,76.2939,Jaipur,Rajasthan,"184,391","1,450",185841,"265,999","2,575",268574,44.3,77.6,images/,
Baori at Abhaneri,27.0076,76.6026,Jaipur,Rajasthan,"81,401","39,248",120649,"100,468","96,080",196548,23.4,144.8,images/,
Deeg Bhawan,27.471,77.325,Jaipur,Rajasthan,"32,624",383,33007,"39,755",245,40000,21.9,-36,images/,
Chittaurgarh Fort,24.8887,74.6269,Jodhpur,Rajasthan,"802,807","7,155",809962,"887,218","13,118",900336,10.5,83.3,images/,
Kumbhalgarh Fort,25.1476,73.5831,Jodhpur,Rajasthan,"389,625","4,759",394384,"343,183","7,390",350573,-11.9,55.3,images/,
Marble Pavillion and balustrade on the Ana Sagar,26.4499,74.6399,Jodhpur,Rajasthan,"709,581",176,709757,"547,782",150,547932,-22.8,-14.8,images/,
Ancient Palace Leh,34.1649,77.5848,Leh,Ladakh,"60,052","2,610",62662,"87,097","7,924",95021,45,203.6,images/,
Remains of Patliputra Site of Mauryan Palace,25.6127,85.144,Patna,Bihar,"110,985",178,111163,"125,570","1,322",126892,13.1,642.7,images/mauryanPalace.png,
"Ancient site of Vaishali, Kolhua",26,85.1,Patna,Bihar,"108,428","9,673",118101,"71,084","25,602",96686,-34.4,164.7,images/vaishali.png,
Excavated Remains at Nalanda,25.1357,85.4436,Patna,Bihar,"390,047","37,456",427503,"492,386","65,506",557892,26.2,74.9,images/nalanda.png,
Ancient Site of Vikramshila Antichak,25.4,87,Patna,Bihar,"75,411",115,75526,"79,240",588,79828,5.1,411.3,images/vikramshila.png,
Sher Shah's Tomb,25.75,84.9167,Patna,Bihar,"261,548",59,261607,"302,528",154,302682,15.7,161,images/tombSher.png,
Temple of Laxman and Old sites,21.3333,82.1833,Raipur,Chhattisgarh,"62,971",19,62990,"85,422",67,85489,35.7,252.6,images/LaxmanTemple.png,
"Ruined Fort, kangra",32.1,76.27,Shimla,Himachal Pradesh,"124,883","1,233",126116,"137,731","2,478",140209,10.3,101,images/,
Rock-cut Temples and Sculptures,32.1,76.27,Shimla,Himachal Pradesh,"51,355","1,040",52395,"52,434","2,603",55037,2.1,150.3,images/,
"Palace Complex at Ramnagar, Distt. Udhampur",32.8,75.25,Srinagar,Jammu & Kashmir,"5,584",0,5584,"6,737",0,6737,20.7,,images/,
"Avantiswamin Temple, Avantipur, District Pulwama",33.8833,75.0167,Srinagar,Jammu & Kashmir,"44,336",99,44435,"43,389",385,43774,-2.17,288.9,images/,
"Group of Temples at kiramchi, District Udhampur",32.9833,75.1333,Srinagar,Jammu & Kashmir,"8,225",9,8234,"16,807",12,16819,104.37,33.3,images/,
Amaravati Mahastupa,16.5728,80.358,Amaravati,Andhra Pradesh,"5,584",0,5584,"6,181",106,6287,10.7,,images/,
Undavalli caves,16.517,80.58,Amaravati,Andhra Pradesh,"127,594",362,127956,"136,853",411,137264,7.3,13.5,images/,
Nagarjuna Kunda,16.5833,79.3167,Amaravati,Andhra Pradesh,"64,591",379,64970,"46,969",452,47421,-27.3,19.3,images/,
Chandragiri Monument,13.6333,79.4167,Amaravati,Andhra Pradesh,"115,676",80,115756,"123,200",97,123297,6.53,21.3,images/,
Buddhist Remains on hill top at Guntupalli,17,81.5,Amaravati,Andhra Pradesh,"21,603",66,21669,"16,626",35,16661,-23,-47,images/,
